Hierarchy	education

Type: Categorical
Clusters: 9
Cluster: {Bachelors}
Values: 1
Frequency: 5 119

Name	Parent cluster	Frequency	Interest	Hierarchical Level	Rank	Hierarchical rank
B2		31 267	0.827235	-0.00237915	6	3
B5	B2	7 693	0.937174	0.789074	2	6
{Bachelors}	B5	5 119	0.962215	1	1	18
B9	B5	2 574	0.887376	0.932314	4	10
{Masters}	B9	1 697	0.911231	1	3	18
{Prof-school, Doctorate}	B9	877	0.841216	1	5	18
B4	B2	23 574	0.791358	0.651432	12	5
B6	B4	13 932	0.933583	0.855416	8	7
{HS-grad}	B6	10 330	1	1	7	18
B14	B6	3 602	0.743109	0.991215	10	15
{11th, 10th, 9th, ...}	B14	2 878	0.814339	1	9	18
{7th-8th, 5th-6th, 1st-4th, ...}	B14	724	0.459961	1	11	18
B12	B4	9 642	0.585853	0.972126	14	13
{Some-college}	B12	7 219	0.659754	1	13	18
B16	B12	2 423	0.365675	0.996015	16	17
{Assoc-voc}	B16	1 374	0.393142	1	15	18
{Assoc-acdm}	B16	1 049	0.329699	1	17	18
