Cumulative gain chart of  Iris-setosa
Population %	Optimal: Train	Selective Naive Bayes: Train	Optimal: Test	Selective Naive Bayes: Test	Random	
0	0	0	0	0	0	
1	0.276316	0.276316	0.375	0.375	0.1	
2	0.552632	0.552632	0.75	0.75	0.2	
3	0.828947	0.828947	1.125	1.125	0.3	
4	1.10526	1.10526	1.5	1.5	0.4	
5	1.38158	1.38158	1.875	1.875	0.5	
6	1.65789	1.65789	2.25	2.25	0.6	
7	1.93421	1.93421	2.625	2.625	0.7	
8	2.21053	2.21053	3	3	0.8	
9	2.48684	2.48684	3.375	3.375	0.9	
10	2.76316	2.76316	3.75	3.75	1	
11	3.03947	3.03947	4.125	4.125	1.1	
12	3.31579	3.31579	4.5	4.5	1.2	
13	3.59211	3.59211	4.875	4.875	1.3	
14	3.86842	3.86842	5.25	5.25	1.4	
15	4.14474	4.14474	5.625	5.625	1.5	
16	4.42105	4.42105	6	6	1.6	
17	4.69737	4.69737	6.375	6.375	1.7	
18	4.97368	4.97368	6.75	6.75	1.8	
19	5.25	5.25	7.125	7.125	1.9	
20	5.52632	5.52632	7.5	7.5	2	
21	5.80263	5.80263	7.875	7.875	2.1	
22	6.07895	6.07895	8.25	8.25	2.2	
23	6.35526	6.35526	8.625	8.625	2.3	
24	6.63158	6.63158	9	9	2.4	
25	6.90789	6.90789	9.375	9.375	2.5	
26	7.18421	7.18421	9.75	9.75	2.6	
27	7.46053	7.46053	10.125	10.125	2.7	
28	7.73684	7.73684	10.5	10.5	2.8	
29	8.01316	8.01316	10.875	10.875	2.9	
30	8.28947	8.28947	11.25	11.25	3	
31	8.56579	8.56579	11.625	11.625	3.1	
32	8.84211	8.84211	12	12	3.2	
33	9.11842	9.11842	12.375	12.375	3.3	
34	9.39474	9.39474	12.75	12.75	3.4	
35	9.67105	9.67105	13.125	13.125	3.5	
36	9.94737	9.94737	13.5	13.5	3.6	
37	10.2237	10.2237	13.875	13.875	3.7	
38	10.5	10.5	14.25	14.25	3.8	
39	10.7763	10.7763	14.625	14.625	3.9	
40	11.0526	11.0526	15	15	4	
41	11.3289	11.3289	15.375	15.375	4.1	
42	11.6053	11.6053	15.75	15.75	4.2	
43	11.8816	11.8816	16.125	16.125	4.3	
44	12.1579	12.1579	16.5	16.5	4.4	
45	12.4342	12.4342	16.875	16.875	4.5	
46	12.7105	12.7105	17.25	17.25	4.6	
47	12.9868	12.9868	17.625	17.625	4.7	
48	13.2632	13.2632	18	18	4.8	
49	13.5395	13.5395	18.375	18.375	4.9	
50	13.8158	13.8158	18.75	18.75	5	
51	14.0921	14.0921	19.125	19.125	5.1	
52	14.3684	14.3684	19.5	19.5	5.2	
53	14.6447	14.6447	19.875	19.875	5.3	
54	14.9211	14.9211	20.25	20.25	5.4	
55	15.1974	15.1974	20.625	20.625	5.5	
56	15.4737	15.4737	21	21	5.6	
57	15.75	15.75	21.375	21.375	5.7	
58	16.0263	16.0263	21.75	21.75	5.8	
59	16.3026	16.3026	22.125	22.125	5.9	
60	16.5789	16.5789	22.5	22.5	6	
61	16.8553	16.8553	22.875	22.875	6.1	
62	17.1316	17.1316	23.25	23.25	6.2	
63	17.4079	17.4079	23.625	23.625	6.3	
64	17.6842	17.6842	24	24	6.4	
65	17.9605	17.9605	24.375	24.375	6.5	
66	18.2368	18.2368	24.75	24.75	6.6	
67	18.5132	18.5132	25.125	25.125	6.7	
68	18.7895	18.7895	25.5	25.5	6.8	
69	19.0658	19.0658	25.875	25.875	6.9	
70	19.3421	19.3421	26.25	26.25	7	
71	19.6184	19.6184	26.625	26.625	7.1	
72	19.8947	19.8947	27	27	7.2	
73	20.1711	20.1711	27.375	27.375	7.3	
74	20.4474	20.4474	27.75	27.75	7.4	
75	20.7237	20.7237	28.125	28.125	7.5	
76	21	21	28.5	28.5	7.6	
77	21.2763	21.2763	28.875	28.875	7.7	
78	21.5526	21.5526	29.25	29.25	7.8	
79	21.8289	21.8289	29.625	29.625	7.9	
80	22.1053	22.1053	30	30	8	
81	22.3816	22.3816	30.375	30.375	8.1	
82	22.6579	22.6579	30.75	30.75	8.2	
83	22.9342	22.9342	31.125	31.125	8.3	
84	23.2105	23.2105	31.5	31.5	8.4	
85	23.4868	23.4868	31.875	31.875	8.5	
86	23.7632	23.7632	32.25	32.25	8.6	
87	24.0395	24.0395	32.625	32.625	8.7	
88	24.3158	24.3158	33	33	8.8	
89	24.5921	24.5921	33.375	33.375	8.9	
90	24.8684	24.8684	33.75	33.75	9	
91	25.1447	25.1447	34.125	34.125	9.1	
92	25.4211	25.4211	34.5	34.5	9.2	
93	25.6974	25.6974	34.875	34.875	9.3	
94	25.9737	25.9737	35.25	35.25	9.4	
95	26.25	26.25	35.625	35.625	9.5	
96	26.5263	26.5263	36	36	9.6	
97	26.8026	26.8026	36.375	36.375	9.7	
98	27.0789	27.0789	36.75	36.75	9.8	
99	27.3553	27.3553	37.125	37.125	9.9	
100	27.6316	27.6316	37.5	37.5	10	
101	27.9079	27.9079	37.875	37.875	10.1	
102	28.1842	28.1842	38.25	38.25	10.2	
103	28.4605	28.4605	38.625	38.625	10.3	
104	28.7368	28.7368	39	39	10.4	
105	29.0132	29.0132	39.375	39.375	10.5	
106	29.2895	29.2895	39.75	39.75	10.6	
107	29.5658	29.5658	40.125	40.125	10.7	
108	29.8421	29.8421	40.5	40.5	10.8	
109	30.1184	30.1184	40.875	40.875	10.9	
110	30.3947	30.3947	41.25	41.25	11	
111	30.6711	30.6711	41.625	41.625	11.1	
112	30.9474	30.9474	42	42	11.2	
113	31.2237	31.2237	42.375	42.375	11.3	
114	31.5	31.5	42.75	42.75	11.4	
115	31.7763	31.7763	43.125	43.125	11.5	
116	32.0526	32.0526	43.5	43.5	11.6	
117	32.3289	32.3289	43.875	43.875	11.7	
118	32.6053	32.6053	44.25	44.25	11.8	
119	32.8816	32.8816	44.625	44.625	11.9	
120	33.1579	33.1579	45	45	12	
121	33.4342	33.4342	45.375	45.375	12.1	
122	33.7105	33.7105	45.75	45.75	12.2	
123	33.9868	33.9868	46.125	46.125	12.3	
124	34.2632	34.2632	46.5	46.5	12.4	
125	34.5395	34.5395	46.875	46.875	12.5	
126	34.8158	34.8158	47.25	47.25	12.6	
127	35.0921	35.0921	47.625	47.625	12.7	
128	35.3684	35.3684	48	48	12.8	
129	35.6447	35.6447	48.375	48.375	12.9	
130	35.9211	35.9211	48.75	48.75	13	
131	36.1974	36.1974	49.125	49.125	13.1	
132	36.4737	36.4737	49.5	49.5	13.2	
133	36.75	36.75	49.875	49.875	13.3	
134	37.0263	37.0263	50.25	50.25	13.4	
135	37.3026	37.3026	50.625	50.625	13.5	
136	37.5789	37.5789	51	51	13.6	
137	37.8553	37.8553	51.375	51.375	13.7	
138	38.1316	38.1316	51.75	51.75	13.8	
139	38.4079	38.4079	52.125	52.125	13.9	
140	38.6842	38.6842	52.5	52.5	14	
141	38.9605	38.9605	52.875	52.875	14.1	
142	39.2368	39.2368	53.25	53.25	14.2	
143	39.5132	39.5132	53.625	53.625	14.3	
144	39.7895	39.7895	54	54	14.4	
145	40.0658	40.0658	54.375	54.375	14.5	
146	40.3421	40.3421	54.75	54.75	14.6	
147	40.6184	40.6184	55.125	55.125	14.7	
148	40.8947	40.8947	55.5	55.5	14.8	
149	41.1711	41.1711	55.875	55.875	14.9	
150	41.4474	41.4474	56.25	56.25	15	
151	41.7237	41.7237	56.625	56.625	15.1	
152	42	42	57	57	15.2	
153	42.2763	42.2763	57.375	57.375	15.3	
154	42.5526	42.5526	57.75	57.75	15.4	
155	42.8289	42.8289	58.125	58.125	15.5	
156	43.1053	43.1053	58.5	58.5	15.6	
157	43.3816	43.3816	58.875	58.875	15.7	
158	43.6579	43.6579	59.25	59.25	15.8	
159	43.9342	43.9342	59.625	59.625	15.9	
160	44.2105	44.2105	60	60	16	
161	44.4868	44.4868	60.375	60.375	16.1	
162	44.7632	44.7632	60.75	60.75	16.2	
163	45.0395	45.0395	61.125	61.125	16.3	
164	45.3158	45.3158	61.5	61.5	16.4	
165	45.5921	45.5921	61.875	61.875	16.5	
166	45.8684	45.8684	62.25	62.25	16.6	
167	46.1447	46.1447	62.625	62.625	16.7	
168	46.4211	46.4211	63	63	16.8	
169	46.6974	46.6974	63.375	63.375	16.9	
170	46.9737	46.9737	63.75	63.75	17	
171	47.25	47.25	64.125	64.125	17.1	
172	47.5263	47.5263	64.5	64.5	17.2	
173	47.8026	47.8026	64.875	64.875	17.3	
174	48.0789	48.0789	65.25	65.25	17.4	
175	48.3553	48.3553	65.625	65.625	17.5	
176	48.6316	48.6316	66	66	17.6	
177	48.9079	48.9079	66.375	66.375	17.7	
178	49.1842	49.1842	66.75	66.75	17.8	
179	49.4605	49.4605	67.125	67.125	17.9	
180	49.7368	49.7368	67.5	67.5	18	
181	50.0132	50.0132	67.875	67.875	18.1	
182	50.2895	50.2895	68.25	68.25	18.2	
183	50.5658	50.5658	68.625	68.625	18.3	
184	50.8421	50.8421	69	69	18.4	
185	51.1184	51.1184	69.375	69.375	18.5	
186	51.3947	51.3947	69.75	69.75	18.6	
187	51.6711	51.6711	70.125	70.125	18.7	
188	51.9474	51.9474	70.5	70.5	18.8	
189	52.2237	52.2237	70.875	70.875	18.9	
190	52.5	52.5	71.25	71.25	19	
191	52.7763	52.7763	71.625	71.625	19.1	
192	53.0526	53.0526	72	72	19.2	
193	53.3289	53.3289	72.375	72.375	19.3	
194	53.6053	53.6053	72.75	72.75	19.4	
195	53.8816	53.8816	73.125	73.125	19.5	
196	54.1579	54.1579	73.5	73.5	19.6	
197	54.4342	54.4342	73.875	73.875	19.7	
198	54.7105	54.7105	74.25	74.25	19.8	
199	54.9868	54.9868	74.625	74.625	19.9	
200	55.2632	55.2632	75	75	20	
201	55.5395	55.5395	75.375	75.375	20.1	
202	55.8158	55.8158	75.75	75.75	20.2	
203	56.0921	56.0921	76.125	76.125	20.3	
